"STN
Code",Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro; mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",35.0,7.2,7.6,488,5.3,2.0,2100.0,17000.0,,3(BDL),116,26.3,5(BDL),116,64,45,1.5(BDL),0.76,84,48,36,5(BDL),62,334,34,0.2(BDL),0.5(BDL),14,0.2(BDL),57,0.4,0.05(BDL),2024
2778,River Arkavathi At Tippagondanahalli Reservoir,"E (Irrigation, industrial cooling and controlled waste)",36.4,1.3,8.2,1416,27.0,5.12,250.0,3500.0,94.0,3(BDL),324,15.4,5(BDL),324,248,180,6.9,4.7,448,240,208,57,162,920,12,0.3,0.5(BDL),14,0.32,43,3.3,0.8,2024
3589,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",30.0,1,8.7,1150,38.0,4.0,1700.0,9400.0,,24,176,55.2,12,200,168,204,1.8,1.2,156,84,72,36,158,766,70,1.5,0.5(BDL),37,0.32,63,6.0,4,2024
3590,Lalbagh Tank,"D (Propagation of wild life,fisheries)",33.0,4.4,9.0,693,8.0,2.4,310.0,3500.0,,32,68,17.4,16,100,96,228,1.5(BDL),0.48,88,52,36,22,91,468,24,0.26,0.5(BDL),25,0.38,62,4.0,0.71,2024
3591,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",34.0,2.9,8.1,740,14.0,2.5,1700.0,7900.0,,3(BDL),108,35.4,5(BDL),108,112,120,1.6,1.1,124,68,56,36,93,498,44,0.29,0.5(BDL),17,0.21,58,4.0,0.84,2024
3592,Yediyur Tank,"E (Irrigation, industrial cooling and controlled waste)",35.0,0.9,8.9,650,42.0,2.2,2400.0,4800.0,,40,156,160,20,196,60,228,5,3.7,184,100,84,18,73,438,196,0.57,0.5(BDL),22,0.24,43,2.0,1.4,2024
3593,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",35.0,7.1,7.5,464,5.3,1.9,46.0,1600.0,,3(BDL),84,68,5(BDL),84,60,45,1.5(BDL),0.74,76,44,32,13,62,316,88,0.2(BDL),0.5(BDL),14,0.2(BDL),58,0.32,0.05(BDL),2024
3594,Sankey Tank,"D (Propagation of wild life,fisheries)",29.0,6.1,7.9,568,6.0,9.6,400.0,16000.0,,3(BDL),148,1(BDL),5(BDL),148,76,56,1.5(BDL),0.72,128,68,60,5(BDL),72,388,10(BDL),0.2(BDL),0.5(BDL),12,0.2(BDL),52,0.36,0.05(BDL),2024
3595,Byrasandra Tank,"D (Propagation of wild life,fisheries)",35.0,6.2,7.8,735,6.3,3.6,3200.0,9400.0,,3(BDL),256,8.8,5(BDL),256,116,54,1.5(BDL),0.86,252,132,120,19,111,434,12,0.6,0.5(BDL),30,0.2(BDL),45,0.32,1.3,2024
3596,Nayandanahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",29.8,2.9,8.5,826,14.0,2.8,1700.0,11000.0,,16,32,57.6,8,48,124,142,2.5,1.9,216,116,100,13,81,560,76,1.1,0.5(BDL),10,0.33,44,2.4,2.9,2024
3597,Hesaraghatta Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.6,6.5,340,30.0,0.96,17000.0,48000.0,,3(BDL),64,59,,64,20,172,1.56,1.2,72,40,32,22,12,226,72,0.2(BDL),0.5(BDL),2,0.2(BDL),26,0.6,0.35,2024
3598,Herohalli Tank,"D (Propagation of wild life,fisheries)",27.0,4.3,6.6,614,6.0,2.5,2500.0,14000.0,,3(BDL),116,15.2,5(BDL),116,60,56,1.5(BDL),0.91,168,88,80,22,50,410,20,1.43,0.5(BDL),3,0.2(BDL),39,2.0,3.8,2024
3599,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,3.3,6.6,764,26.0,2.9,220.0,5400.0,,3(BDL),176,9.8,5(BDL),176,124,193,3.5,3,208,108,100,31,68,506,12,0.31,0.5(BDL),15,0.33,39,2.0,0.88,2024
3600,Shivapura Tank,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.2,6.6,1032,18.0,4.2,140.0,2400.0,,3(BDL),64,5.3,5(BDL),64,92,136,4.7,3.6,304,156,148,134,92,690,10(BDL),3.5,0.5(BDL),8,0.22,39,2.0,9.15,2024
3601,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),6.5,1105,45.0,4.4,17000.0,110000.0,,3(BDL),228,2.8,5(BDL),228,132,272,26,20,236,124,112,19,98,740,10(BDL),2.14,0.5(BDL),9,0.32,46,3.0,5.66,2024
3602,Bellandur Lake,"D (Propagation of wild life,fisheries)",28.0,4.1,7.2,1655,6.0,6.7,17000.0,49000.0,,3(BDL),420,5.5,5(BDL),420,232,56,1.5(BDL),0.4(BDL),348,180,168,35,151,1108,10(BDL),0.22,0.5(BDL),13,0.2(BDL),47,2.0,0.52,2024
3603,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",26.0,1.3,7.0,1379,44.0,5.3,21.0,350.0,,3(BDL),320,6.6,5(BDL),320,232,233,29,24,376,192,184,56,113,924,10(BDL),1.38,0.5(BDL),28,0.2(BDL),37,2.5,4.02,2024
3604,Doddanekkundi Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.7,7.3,850,8.0,2.8,150000.0,480000.0,,3(BDL),168,18,5(BDL),168,120,84,1.5(BDL),0.5,280,168,112,31,98,554,40,0.31,0.5(BDL),10,0.3,42,2.5,0.87,2024
3605,Yelamalappa Shety Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.7,6.5,389,78.0,1.5,140.0,2400.0,,3(BDL),88,13.8,5(BDL),88,60,356,13.9,10.5,104,56,48,16,35,256,18,1.02,0.5(BDL),8,0.31,40,1.5,2.86,2024
3606,Dasarahalli Tank,"D (Propagation of wild life,fisheries)",27.0,5.8,6.6,472,4.0,1.8,170.0,2400.0,,3(BDL),108,10.8,5(BDL),108,76,40,1.5(BDL),0.44,124,68,56,19,38,310,12,0.2(BDL),0.5(BDL),9,0.31,38,1.4,0.05(BDL),2024
3607,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.6,8.2,1580,42.0,5.5,1100.0,7900.0,,3(BDL),188,155,5(BDL),188,292,236,3.6,2.6,176,96,80,31,173,1040,130,1.1,0.5(BDL),43,0.2(BDL),62,6.0,2.8,2024
3609,Ibbalur Lake,"D (Propagation of wild life,fisheries)",30.0,4.3,7.4,535,7.0,1.9,310.0,3500.0,,3(BDL),132,14.2,5(BDL),132,52,88,1.5(BDL),0.4,124,68,56,22,56,362,20,0.2(BDL),0.5(BDL),17,0.25,42,2.0,0.05(BDL),2024
3610,Tubarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.2,6.8,1073,29.0,3.76,93000.0,490000.0,,3(BDL),136,10.4,5(BDL),136,148,204,3,2.1,248,132,116,45,92,710,14,0.55,0.5(BDL),18,0.2(BDL),37,3.0,1.45,2024
3611,Kaikondanahalli Lake,"D (Propagation of wild life,fisheries)",28.0,4.1,7.4,2106,12.0,7.3,17.0,350.0,,3(BDL),524,14,5(BDL),524,336,124,1.5(BDL),0.9,512,264,248,32,203,1430,18,1.4,0.5(BDL),26,0.8,45,3.9,3.8,2024
3612,Agaram Lake,"D (Propagation of wild life,fisheries)",28.0,6.2,8.3,1228,4.0,4.3,6.8,240.0,,48,212,3.2,24,260,168,48,1.5(BDL),0.4,244,128,116,33,175,820,10(BDL),0.31,0.5(BDL),42,0.2(BDL),56,5.0,0.9,2024
3613,Gottigere Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,2.5,8.0,1188,19.0,5.0,310.0,3500.0,,3(BDL),348,2.7,5(BDL),348,216,125,3.6,2.77,356,184,172,16,153,810,10(BDL),2.7,0.5(BDL),30,0.2(BDL),46,0.28,6.7,2024
3614,Puttenahalli Lake,"D (Propagation of wild life,fisheries)",29.0,4.2,7.4,546,8.0,2.1,,,,3(BDL),104,8,5(BDL),104,76,77,1.5(BDL),0.83,116,64,52,19,65,372,10(BDL),0.2(BDL),0.5(BDL),16,0.2(BDL),50,0.37,0.3,2024
3615,Arakere Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,3.2,7.7,509,25.0,1.8,260.0,3500.0,,3(BDL),96,38.6,5(BDL),96,64,168,1.5(BDL),1,84,48,36,16,62,340,88,0.41,0.5(BDL),17,0.28,56,3.0,1,2024
3616,Kalena Agrahara Lake,"D (Propagation of wild life,fisheries)",30.0,5.6,7.4,494,5.0,1.7,2100.0,13000.0,,3(BDL),124,12.8,5(BDL),124,40,64,1.5(BDL),0.4,116,64,52,14,50,332,18,0.31,0.5(BDL),16,0.24,44,2.0,0.9,2024
3618,Singasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,3.4,8.1,1390,30.0,4.8,140.0,2400.0,,3(BDL),328,65.6,5(BDL),328,188,160,2.3,1.6,296,156,140,19,132,928,84,0.48,0.5(BDL),33,0.22,46,3.0,1,2024
3619,Begur Tank,"E (Irrigation, industrial cooling and controlled waste)",30.0,1.6,7.4,1832,17.0,6.4,2100.0,11000.0,,3(BDL),148,31.6,5(BDL),148,328,144,2.5,1.8,164,88,76,34,204,1208,44,0.42,0.5(BDL),41,0.48,67,7.0,1,2024
3620,Parappana Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.2,8.5,1521,19.0,5.3,140.0,2800.0,,40,164,11.6,20,204,328,158,2.9,2.3,180,96,84,23,147,1032,16,0.95,0.5(BDL),19,0.59,61,4.8,2.7,2024
3621,Haralur Lake,"D (Propagation of wild life,fisheries)",29.0,4.1,8.1,1030,14.0,3.5,170.0,1400.0,,3(BDL),188,155,5(BDL),188,180,139,1.5(BDL),0.99,176,96,80,16,100,698,202,0.54,0.5(BDL),13,0.4,53,3.3,1.9,2024
3622,Somasundrapalya Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,1.6,7.4,1821,16.0,6.3,2400.0,14000.0,,3(BDL),148,20.8,5(BDL),148,340,140,3,2.1,168,92,76,84,202,1200,28,0.31,0.5(BDL),41,0.48,67,9.0,0.92,2024
3623,Anekal Doddakere Tank,"D (Propagation of wild life,fisheries)",25.0,6.8,7.2,1525,4.0,5.8,2600.0,17000.0,,3(BDL),352,8.9,5(BDL),352,256,46,8.9,0.42,412,212,200,62,131,1008,10(BDL),0.25,0.5(BDL),31,0.29,38,2.8,0.7,2024
3624,Puttenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,0.3(BDL),6.6,1098,26.0,3.9,3300.0,14000.0,,3(BDL),228,21.6,5(BDL),228,124,173,6,4.6,252,132,120,13,105,748,28,1.2,0.5(BDL),23,0.38,45,2.9,3.6,2024
